"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\ASUS\OneDrive\바탕 화면\Spring Projects\springwebapp\src\test\java\com\amazing\juno\springwebapp\ProjectRestControllerIntegrationTest.java", "Java", 65, 0, 22, 87
"Total", "-", 65, 0, 22, 87
